slug,title,date_published,site,keyword,position,impressions,clicks,ctr,pageviews,unique_visitors,bounce_rate,avg_session_duration,pages_per_session,email_signups,affiliate_clicks,affiliate_conversions,revenue,word_count,reading_time_minutes,grade_score,revenue_per_pageview,conversion_rate,value_score,last_updated
best-credit-cards-for-groceries-2025,Best Credit Cards for Groceries 2025,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,901,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322189
best-credit-cards-for-groceries-2025_1,Best Credit Cards for Groceries 2025,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,849,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322222
best-credit-cards-for-groceries-2025_2,Best Credit Cards for Groceries 2025,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,848,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322244
best-credit-cards-for-groceries-2025_3,Best Credit Cards for Groceries 2025,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,775,3,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322264
best-credit-cards-for-groceries-2025_4,Best Credit Cards for Groceries 2025,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,915,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322284
best-credit-cards-for-groceries-2025_5,Best Credit Cards for Groceries 2025,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,891,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322302
best-credit-cards-for-groceries-2026,Best Credit Cards for Groceries 2026,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,803,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322318
best-credit-cards-for-groceries-2026_1,Best Credit Cards for Groceries 2026,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,819,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322333
best-credit-cards-for-groceries-2026_2,Best Credit Cards for Groceries 2026,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,779,3,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322348
best-credit-cards-for-groceries-2026_3,Best Credit Cards for Groceries 2026,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,777,3,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322363
best-credit-cards-for-groceries-2026_4,Best Credit Cards for Groceries 2026,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,851,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322377
best-credit-cards-for-groceries-2026_5,Best Credit Cards for Groceries 2026,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,880,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322393
business-credit-cards-for-startups,Business Credit Cards for Startups,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,888,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322442
business-credit-cards-for-startups_1,Business Credit Cards for Startups,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,892,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322460
business-credit-cards-for-startups_10,Business Credit Cards for Startups,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,883,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322474
business-credit-cards-for-startups_11,Business Credit Cards for Startups,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,847,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322489
business-credit-cards-for-startups_12,Business Credit Cards for Startups,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,871,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322503
business-credit-cards-for-startups_13,Business Credit Cards for Startups,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,852,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322518
business-credit-cards-for-startups_14,Business Credit Cards for Startups,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,786,3,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322532
business-credit-cards-for-startups_15,Business Credit Cards for Startups,2026-03-04,credit,,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,855,4,0.0,0.0,0.0,0.0,2026-03-05T16:11:37.322546
