slug,title,site,date_published,word_count,reading_time_minutes,position,impressions,clicks,ctr,pageviews,unique_visitors,bounce_rate,email_signups,affiliate_clicks,revenue
best-credit-cards-for-groceries-2025,Best Credit Cards for Groceries 2025,credit,2026-03-04,901,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2025_1,Best Credit Cards for Groceries 2025,credit,2026-03-04,849,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2025_2,Best Credit Cards for Groceries 2025,credit,2026-03-04,848,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2025_3,Best Credit Cards for Groceries 2025,credit,2026-03-04,775,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2025_4,Best Credit Cards for Groceries 2025,credit,2026-03-04,915,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2025_5,Best Credit Cards for Groceries 2025,credit,2026-03-04,891,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026,Best Credit Cards for Groceries 2026,credit,2026-03-04,803,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026_1,Best Credit Cards for Groceries 2026,credit,2026-03-04,819,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026_2,Best Credit Cards for Groceries 2026,credit,2026-03-04,779,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026_3,Best Credit Cards for Groceries 2026,credit,2026-03-04,777,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026_4,Best Credit Cards for Groceries 2026,credit,2026-03-04,851,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
best-credit-cards-for-groceries-2026_5,Best Credit Cards for Groceries 2026,credit,2026-03-04,880,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups,Business Credit Cards for Startups,credit,2026-03-04,888,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_1,Business Credit Cards for Startups,credit,2026-03-04,892,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_10,Business Credit Cards for Startups,credit,2026-03-04,883,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_11,Business Credit Cards for Startups,credit,2026-03-04,847,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
business-credit-cards-for-startups_12,Business Credit Cards for Startups,credit,2026-03-04,871,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0
